Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Effluent TN,Energy Consumption,External Carbon Source
13.2,17.23,44801.57,8.1,32.49,49.98,9.69,7.04,26.7,7.83,4.53,16390.99,4.01
15.04,20.63,45949.2,6.7,32.56,42.15,9.95,7.06,24.13,6.41,4,16283.78,4.11
15.21,18.53,44463.09,8.71,32.54,58.02,7.06,7.01,28.4,7.57,5.14,16454.87,3.73
13.23,17.44,44924.68,8.39,32.28,53.59,9.68,7.03,27.56,8.56,4.93,16352.29,4.02
25.29,27.57,66913.79,9.14,16.91,38.58,8.06,0.13,31.22,7.65,5.17,21363.53,2.15
28.08,30.38,63199.88,8.51,18.29,36.97,9.13,0.13,34.46,7.96,4.95,21367.18,2.26
25.44,27.45,66098.81,8.18,18.37,42.15,9.54,0.13,33.95,7.86,4.88,21692.81,2.4
23.83,26.18,66688.26,9.82,14.73,42,8.22,0.13,29.15,6.94,5.42,20856.09,2.5
16.7,17.99,20859.59,7.89,26.31,45.73,5.83,5.84,29.81,6.52,5.27,6399.69,0.72
20.75,22.24,22540.82,7.25,26.62,40.68,6.15,5.98,30.03,6.43,5.57,6731.54,0.75
13.02,13.94,19814.73,8.56,25.95,50.75,5.53,5.78,29.58,6.6,4.96,6038.33,0.7
14.71,18.11,12119.7,8.1,24.57,47.19,6.54,5.51,27.14,8.35,6.06,4555.92,0.78
17.44,21.58,67183.99,12.87,12.71,34.56,11.29,0.08,29.84,6.05,4.3,21650.95,2.75
20.21,21.22,68891.72,14.57,13.34,46.58,6.71,0.08,32.11,5.67,4.83,21688.84,3.19
19.26,20.55,69425.64,14.55,13.18,45.29,6.84,0.08,31.42,5.31,4.84,21690.42,3.1
20.63,21.77,68938.38,13.56,13.27,46.85,6.53,0.09,30.57,5.52,5.16,21340.13,3.06
14.01,14.89,64919.98,8.99,12.41,31.29,8.03,0.16,23.24,5.66,5.43,20752.86,2.27
14.15,14.7,66712.61,9.44,13.44,33.84,9.18,0.15,21.76,6.21,4.91,20789.07,1.93
14.13,14.77,66027.03,9.07,12.73,33.25,8.39,0.15,21.85,5.89,5.16,20816.12,1.98
14.17,14.7,66686,9.35,13.28,33.97,9.01,0.15,21.57,6.16,4.94,20806.58,1.9
26.93,29.04,61745.17,8.18,17.57,44.18,10.93,0.13,35.36,7.44,4.92,21157.14,2.9
26.47,29.72,64354.19,9.09,17.39,47.3,9.4,0.13,38.78,6.87,5.51,21986.71,3.96
28.53,30.8,59058.52,8.32,17.27,42.73,11.23,0.13,36.04,7.33,4.96,20839.42,3.01
30.54,33,55684.22,8.5,16.89,40.91,11.61,0.13,36.9,7.2,5.01,20440.38,3.16
33.25,34.77,33823.41,6.99,24.26,33.55,21.71,6.79,26.48,17.13,5.51,14133.43,2.68
37.4,40.76,25392.78,7.83,26.01,34.94,21.05,4.9,23.41,16.12,5.08,11435.98,2.28
37.27,41.01,24874.38,7.96,26.01,34.59,20.9,4.84,23.23,16.09,5.08,11432.44,2.26
37.33,40.82,25265.95,7.86,26.09,34.18,21.06,4.87,23.61,16.05,5.07,11563.3,2.26
15.05,16.55,65171.13,9.55,11.94,30.74,7.79,0.15,22.84,5.32,5.33,20697.48,2.28
16.95,19.53,65738.79,10.54,11.12,29.8,7.35,0.13,22.06,4.73,5.12,20597.91,2.26
15.64,18,65841.91,9.29,12.22,23.35,6.37,0.13,23.92,5.42,5.63,20719.91,1.55
16.95,19.54,65738.48,10.55,11.12,29.8,7.35,0.13,22.06,4.73,5.12,20597.98,2.26
27.23,28.2,45503.87,3.94,14.75,42.3,10.41,2.28,27.98,10.18,5.14,15769.82,1.92
27.25,27.93,45843.3,3.8,14.72,42.7,10.51,2.25,28.24,10.23,5.15,15977.21,1.92
28.3,30,45496.18,3.76,13.88,31.07,13.76,1.87,25.11,11.02,5.54,16164.7,2
26.49,28.84,46060.19,4.09,15.11,47.73,10.2,2.73,29.17,8.68,5.3,15958.25,1.94
17.56,21.09,47505.71,9.36,24.89,27.77,12.18,4.63,18.57,10.49,5.65,14654.6,2.17
21.62,22.83,42978.61,9.99,22.2,34.72,13.27,4.12,16.33,9.89,5.74,14231.16,2.5
19.48,22.75,44797.18,9.98,22.65,31,12.44,3.97,18.32,9.74,4.86,14335.67,3.06
21.49,22.81,42915.4,9.99,22.28,34.58,13.29,4.11,16.46,9.92,5.72,14242.66,2.53
25.63,26.8,54259.57,2.46,27.99,66.51,9.05,0.99,37.95,7.32,4.88,16785.67,4.11
20,23.06,51661.64,2.24,27.3,61.34,10.53,1.6,34.63,7.28,5.67,17353.12,3.87
21.8,24.62,54390.26,3.27,25.58,55.47,8.2,2.63,32.37,4.9,5.19,17802.82,4.11
21.87,26.21,47807.66,2.85,26.23,54.45,9.65,1.62,29.33,7.87,4.64,19206.73,3.78
14.38,18.07,44657.49,8.58,32.43,56.15,8.16,7.02,28.04,7.99,5.05,16411.67,3.85
18.51,21.51,44540.64,8.51,32.4,56.59,7.92,6.95,25.99,7.36,5.8,16610.44,3.42
20.76,21.17,44868.31,8.47,33.5,54.87,6.01,7.02,28.98,5.55,5.67,16339.05,3.66
