Influent NH4+-N,Influent TN,Influent Flowrate,DO of Zone 5,TN of Zone 5,COD of Zone 6,TN of Zone 6,DO of Zone 7,COD of Zone 7,TN of Zone 7,Energy Consumption,External Carbon Source,Effluent TN
17.45604723,19.7393485,53879.32794,10.54163139,16.98905991,34.2107477,7.624626149,4.726045911,18.5107477,5.557965896,13692.24574,2.305604723,4.462744643
19.47321817,20.97338215,49536.69221,10.33688785,18.83644511,35.03144949,9.874782446,4.520049193,17.26871449,7.202800597,13873.64451,2.28,5.205
21.13986569,23.21451836,65358.73163,9.634906611,12.74700525,29.16981322,9.36110682,0.07518447,23.62165792,6.88198363,20515.66842,2.013962644,5.194010493
15.60875765,16.84248559,66056.49694,9.459254501,12.75325441,33.18473353,8.683917177,0.105976323,22.00982265,5.943692294,20717.92897,1.955005941,4.867384588
17.78830319,20.54596382,65324.02386,10.46963755,11.61239707,30.13649096,7.983051937,0.078760293,22.8671335,5.123859172,20521.16968,2.28,4.815
10.62020752,12.41366979,65906.53773,10.12213962,15.00059434,42.34056612,8.395571678,0.13,25.39049058,5.815943388,20252.08019,2.737266041,5.961560388
11.94894437,13.31252119,66336.42318,10.2628294,15.03967483,38.43251657,9.419480659,0.13,24.76520265,6.206748343,20388.86192,2.557495762,5.406617353
13.84477733,14.76898785,67029.31984,10.47310121,14.78955465,32.43449393,10.5972834,0.13,24.05008097,6.651327934,20651.74089,2.240331984,4.667279353
35.38133873,39.8905274,45930.16349,8.085989849,25.90862082,45.79636926,10.8820709,0.089693711,39.50584186,7.741837735,19301.67341,3.724565945,4.777243398
36.39827065,38.3824211,29556.36171,5.790836142,30.80998991,61.07511746,12.06560946,0.07,40.10758899,9.971853583,18214.3133,3.313727338,5.829029544
34.92934753,40.18781054,42452.26495,7.802981164,28.5559787,49.53315586,9.602772315,0.07,41.48260988,8.133043951,18962.18946,3.997856949,4.734084083
13.33981019,15.92742882,66774.84411,9.668621793,11.83244464,29.04812478,6.059295079,0.13,25.79765026,5.269200176,20867.55536,1.606285589,5.311599649
15.0350599,16.98007987,66073.86452,9.171792928,12.00059755,25.80637479,6.053665433,0.13,24.29243012,5.438665287,20518.1275,1.534960212,4.73701198
16.7149089,19.21987854,65779.89094,10.37568471,11.23066675,29.30606022,7.18756351,0.13,22.33260628,4.815721282,20588.1212,2.171902959,5.072981781
27.84566931,29.77999577,51051.50901,8.068716746,14.36656735,54.78359218,6.676475858,0.135552245,38.65611833,5.47029794,18810.44902,3.854596725,4.552030217
24.22181512,25.95927143,50347.03032,8.646182354,14.40109076,65.01564119,6.503274373,0.110327227,42.89491682,5.747528321,19057.08991,4.555019582,5.561710254
25.37433395,26.44909193,52620.37371,8.444491559,14.4587167,63.20042404,5.883795504,0.127615009,39.98480679,5.352790624,19431.65853,4.02774222,5.123753101
25.49197305,26.1002438,35619.85138,8.423835238,20.80594365,43.6692593,11.40052291,0.730331157,34.56047237,3.088466427,12183.98886,2.51458176,4.860793272
24.87843193,26.12887708,36404.31361,8.660178061,20.35989373,44.51639863,11.56595348,1.217040501,33.83618609,3.687735506,12487.16543,2.526759334,5.016470422
25.32540484,25.78763324,36429.83527,8.55054957,21.27843059,44.05522029,11.5673174,0.710477096,34.70042009,3.0585415,12069.38648,2.493126217,4.859067484
26.38359845,28.44394116,62665.29594,8.136980817,17.67931458,44.67674426,10.82068542,0.13,35.12154219,7.477760104,21265.95269,2.860257032,4.902758056
24.89054864,27.1081297,65631.85287,8.244064848,17.89413965,46.7081297,10.17395011,0.13,35.39508732,7.424857849,21748.20449,3.030057368,5.016673323
26.61933104,28.8072307,67063.85145,8.46983276,18.95966552,35.73964583,8.014466303,0.13,33.24840138,8.300152485,21839.91638,1.857107721,4.917579931
24.69883002,26.26682726,54317.82312,2.659504472,27.38423951,63.80660704,8.839483828,1.390750168,36.60330352,6.72525121,17037.3159,4.11,5.03
19.30545107,22.33626291,49774.78237,1.454594077,28.8021134,66.6489433,12.17052254,0.70936598,36.7957732,9.167730661,16915.52835,3.710673005,5.94949935
25.15066667,27.54933333,51797.99857,2.457104762,29.02761905,64.95923809,9.32422381,1.325833334,35.97371428,7.789452382,16614.77143,4.11,5.135
17.36067906,20.27378604,44503.70589,7.52829135,33.56019402,50.97582538,9.425446726,6.961990299,26.25718459,7.396456481,16283.72816,3.901436917,5.255388305
12.94182043,17.17596009,44916.81381,8.181123864,32.36458021,50.93399842,10.03790942,7.035064006,26.95817957,8.27624526,16360.51205,4.051763927,4.673769756
16.96632017,20.01088011,44550.61582,7.591388773,33.44752005,51.07723196,9.514459162,6.967623998,26.34356796,7.518519948,16286.7328,3.918713593,5.223464014
26.2203418,28.34839307,66736.68028,8.37008545,18.7601709,37.91413718,8.531157368,0.13,33.48779492,8.152526466,21790.04273,2.040642772,4.905610254
27.30621326,29.54850721,65408.63629,8.497048991,18.68984438,36.03309511,8.44431355,0.13,33.74982133,8.166463399,21638.53026,2.013142365,4.934097983
28.56863521,31.45707976,63697.61217,9.030920719,18.01650778,28.12050682,6.719974419,0.13,38.2158103,8.280825389,22440.09533,3.167384336,6.208374803
12.80936584,13.86658695,19632.17218,8.556731008,25.99803762,50.47398882,5.421284546,5.698289699,29.77411634,6.630351118,6038.762072,0.719349312,4.952542547
10.80342714,11.52199233,24460.88902,8.571519028,20.99366806,39.57414989,8.48803965,4.965010128,26.79883808,8.868809292,8177.89148,1.708338129,5.750749386
10.48312133,11.14049376,25298.46482,8.582992669,20.19051319,37.8052969,8.964195753,4.845493034,26.34945381,9.231185121,8514.451616,1.872028741,5.8760033
19.19275806,21.53187327,66151.19286,11.58321797,12.6478318,35.29141474,8.04258871,0.022029493,26.29280184,5.586517742,20757.97926,2.530585484,4.629423272
19.07260145,21.82368219,65246.58521,10.78331823,12.49334472,32.30466465,8.583293468,0.008297309,24.98824433,5.694658694,20534.83127,2.374381887,4.548746689
13.00857663,16.01748904,67623.54087,10.89161459,11.69405839,34.42793428,6.268548176,0.124609489,27.24983211,4.987249635,21253.90511,1.967699998,5.808658396
